FEN,Response Move
1k4r1/ppp5/4BB1p/8/4P2p/6bK/PP2n3/1N1Nn3 b - - 0 32,g8f8
1k4r1/pppB1p2/4PB1p/8/4P2p/6bK/PP2n3/1N1Nn3 b - - 0 31,f7e6
1k4r1/pppB1p2/5B1p/4P1p1/4P2P/6bK/PP2n3/1N1Nn3 b - - 0 30,g5h4
1k4r1/pppB1p2/5Bpp/4P3/4P2P/4N1bK/PP2n3/1N1bn3 b - - 3 29,g6g5
1k5b/7p/8/8/4B3/3P1KP1/P1P4P/8 b - - 2 39,b8c7
1k5r/1p4b1/p7/5pR1/2N5/P2PPB2/1PP5/2K5 b - - 0 26,g7h6
1k5r/1p6/p6b/5R2/2N5/P2PPB2/1PP5/2K5 b - - 0 27,b7b5
1k5r/2p1np2/Bp3N1p/p3Pbp1/4P3/P7/1P1r1PPP/R4RK1 b - - 0 20,f5c8
1k5r/2prnp2/Bp3N1p/p3Pbp1/8/P3P3/1P3PPP/R4RK1 b - - 1 19,d7d2
1k5r/8/p6b/Np3R2/8/P2PPB2/1PP5/2K5 b - - 1 28,h6e3
1k5r/8/p7/Np3R2/8/P2PbB2/1PP5/1K6 b - - 1 29,h8h2
1k5r/pp1nn1p1/2q1p3/1N1p2P1/3P4/1PN1pP2/P1K1B3/R7 b - - 1 23,h8h2
1k5r/pp3ppp/3pb3/2r1p2P/P2PP1P1/5P2/3KN3/R4B1R b - - 0 23,e5d4
1k5r/pp3ppp/3pb3/2r4P/P2NP1P1/5P2/3K4/R4B1R b - - 0 24,h8c8
1k6/1B5p/8/8/3b4/3P1KP1/P1P4P/8 b - - 0 38,d4h8
1k6/1P6/8/8/3NBR2/5P2/3K4/8 b - - 0 67,b8a7
1k6/1b6/pb2R2n/1p6/5r1P/2R3p1/P1P5/4K3 b - - 1 32,g3g2
1k6/1p1R2R1/p5p1/2p3P1/5r2/2P5/1P6/1K6 w - - 0 39,d7b7
1k6/1p1n2p1/2q1p3/1p1p1nP1/1P1P4/N2K1P2/P7/8 b - - 2 31,c6c1
1k6/1p1n2p1/3Np3/1K1p2P1/1P6/P4q2/2n5/8 b - - 2 38,f3a3
1k6/1p1n2p1/3Np3/3p2P1/KP1n4/4qP2/P7/8 b - - 1 36,e3f3
1k6/1p1n2p1/3Np3/3p2P1/KP1n4/P4q2/8/8 b - - 0 37,d4c2
1k6/1p1n2p1/4p3/1N1p1nP1/1P1P4/1K3P2/P7/4q3 b - - 4 34,e1e3
1k6/1p1n2p1/4p3/1N1p1nP1/1P1P4/2K2P2/P7/3q4 b - - 2 33,d1e1
1k6/1p1n2p1/4p3/1N1p1nP1/1P1P4/3K1P2/P7/2q5 b - - 0 32,c1d1
1k6/1p1n2p1/4p3/1N1p1nP1/KP1P4/4qP2/P7/8 b - - 6 35,f5d4
1k6/1p1nn1p1/2q1p3/1p1p2P1/1P1P4/N4P2/P3K3/8 b - - 0 30,e7f5
1k6/1p1nn1p1/p1q1p3/1N1p2P1/3P4/NP1K1P2/P3R2r/8 b - - 0 28,h2e2
1k6/1p1nn1p1/p1q1p3/1N1p2P1/3P4/NP3P2/P3K3/8 b - - 0 29,a6b5
1k6/1p2n2Q/1b1q4/pPp1pP2/P1PpP3/BN1P4/7P/6K1 b - - 0 41,b8a7
1k6/1p6/pP6/3K4/P2pP3/5n2/5rp1/2R5 b - - 5 42,f2f1
1k6/1p6/pP6/3Kn3/P2pP3/8/5rp1/6R1 b - - 3 41,e5f3
1k6/1p6/pPn5/2K5/P2pP3/6p1/5r2/2R5 b - - 3 39,g3g2
1k6/1p6/pPn5/2K5/P2pP3/8/5rp1/6R1 b - - 1 40,c6e5
1k6/1p6/pPn5/4p3/P2PP3/2K3p1/6r1/2R5 b - - 0 37,e5d4
1k6/1p6/pPn5/4p3/P3P3/2KP2p1/5rP1/2R5 b - - 4 36,f2g2
1k6/1p6/pPn5/8/P1KpP3/6p1/6r1/2R5 b - - 1 38,g2f2
1k6/1pR4q/pP1K4/8/P2pP3/5n2/8/5r2 b - - 5 46,h7g6
1k6/1pR5/pP1K4/8/P2pP3/5n2/8/5rq1 b - - 1 44,g1g6
1k6/1pR5/pP6/3K4/P2pP3/5n2/6p1/5r2 b - - 7 43,g2g1q
1k6/1pRK4/pP4q1/8/P2pP3/5n2/8/5r2 b - - 3 45,g6h7
1k6/1pRK4/pP4q1/8/P2pP3/5n2/8/5r2 b - - 7 47,f3e5
1k6/1pp5/8/8/6Kp/6b1/p2r4/4n3 b - - 1 49,a2a1q
1k6/1pp5/8/8/7p/6bK/3r4/q3n3 b - - 1 50,a1d4
1k6/1pp5/8/8/7p/p5bK/3r4/4n3 b - - 1 48,a3a2
1k6/1pp5/8/8/p5Kp/6b1/3r4/4n3 b - - 1 47,a4a3
1k6/1pp5/8/p7/7p/6bK/3r4/4n3 b - - 1 46,a5a4
1k6/1pp5/p1r5/3r1B2/1K3PR1/2P5/PP3P1P/R1B5 b - - 0 32,d5b5
1k6/2PK4/5N2/3P1B2/8/8/8/8 b - - 0 65,b8a7
